Weight,Size,Class
67.21128750752493,2.5063266853334936,apple
64.35031629299598,3.2604943718254185,orange
67.53606312042722,-0.16546510798488523,orange
72.71100218062172,1.8599912341635614,apple
68.93504803947214,9.17231530390843,orange
65.05820177863971,3.336667519577648,orange
71.66590660370642,5.265479948041417,apple
63.457545949659604,6.157044902436678,orange
74.41505471045394,2.2713343290545196,apple
67.08723554123846,6.980569619596533,orange
70.0807487363511,9.970601186500481,apple
65.9209194274773,3.866274201020514,orange
71.38038520422984,2.4630858204621013,apple
66.71157102692744,8.351159126463912,apple
67.59980774039099,-0.4400852294794806,orange
69.38834687543316,6.291034564117654,apple
66.48637549884411,1.4447436795852342,orange
72.2759436366538,10.071241564939154,apple
74.19483194880146,9.15099764058927,apple
68.51609790865143,5.450213625100831,orange
64.75813089572331,3.2022402871698517,apple
70.1537660377806,3.8669310574163998,orange
72.23557777561324,2.870550973239247,apple
63.924428778388595,4.203325187588744,orange
66.8696351012084,2.3944723694939585,orange
68.82912279075416,3.506331353569574,orange
72.32956936419997,-0.6167310952182623,apple
76.33593824719463,3.7258511187754553,apple
64.45271204016622,8.275422929208426,orange
66.00775482535789,5.057427452874181,orange
65.80453057886915,3.3924553258157566,orange
71.14111757495756,1.6399604155513945,apple
65.31122346465416,6.092755867117153,orange
64.91143474220524,0.3728098821610226,orange
65.85143585874337,2.391874171053344,orange
64.72918852214806,2.1346726144973243,orange
64.79391843253498,7.250990155425545,orange
70.10688170632315,8.452475581983055,apple
65.1609287697623,2.89183134521181,orange
68.91567831464245,9.93663372144856,apple
65.25912285158451,7.423003395737236,orange
67.19703993135165,5.046048184800142,orange
67.56369450858436,5.169485251602849,orange
66.55061842731858,5.726088989452399,orange
69.7113945652329,8.775171033862513,apple
70.69357494883168,5.418466153504192,apple
70.13317270771068,1.7601062555258773,orange
71.54476393508519,3.9125040795156436,apple
76.04856571629414,7.718711187140485,apple
73.01327096957836,8.497965466851397,apple
72.76118011596363,5.873269597073387,apple
70.99282913703021,4.974417780896108,apple
73.5514174003998,8.252835768874188,apple
67.54612614882505,1.2034756747709436,orange
73.31116656985742,12.49900297122667,apple
72.58513402020735,3.6265588196864615,apple
65.99353802866753,10.571715623482415,orange
72.99160206004292,9.560818015809692,apple
60.89843780985366,8.526753503710125,orange
67.95397528964106,3.715615232219747,orange
75.50233972272758,11.91245463720684,apple
64.54889088245118,2.697921243297911,orange
71.67679138881861,11.306975732070722,apple
73.37992052614067,3.875421058058064,apple
70.84774877098312,5.793106660203254,apple
63.77797244527608,-1.03752803051737,orange
74.51792190675255,8.766686105166961,apple
65.0307948035165,2.376761721777619,orange
73.01557407186051,7.649342780857048,apple
70.49579781684803,6.430796478086568,apple
70.99401577817332,4.69455515131271,orange
65.7050640946144,2.4916591866735893,orange
64.30424920638106,8.036006915858216,orange
72.69188248525131,9.834283691993193,apple
66.87275198550402,4.697387196833966,orange
64.46930896556186,-3.0929319849510577,orange
64.04663858115228,7.887573476675472,orange
66.22457794015939,6.968110072910944,orange
70.28950568611387,1.4818988979279206,apple
67.27926355626866,4.198179435451257,orange
69.2695881094996,6.132209296197171,apple
62.9853177915411,4.177694123922541,orange
73.30888392458012,8.699527639754896,apple
66.47516588718996,4.267328227354548,orange
65.025002222719,5.718514702569626,orange
69.6540832254117,4.592421511907007,apple
66.23085561797365,4.179119645690779,orange
74.25388801829587,0.3336739440043788,apple
73.71689251851267,6.71256395142419,apple
